[2025-11-30 22:59:45] User: HaChu | Action: LOGIN | Details: User logged in
[2025-11-30 22:59:55] User: giang2b | Action: LOGIN | Details: User logged in
[2025-11-30 23:01:49] User: HaChu | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 23:01:49] User: giang2b | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 23:06:01] User: giang2b | Action: LOGIN | Details: User logged in
[2025-11-30 23:06:12] User: HaChu | Action: LOGIN | Details: User logged in
[2025-11-30 23:06:29] User: giang2b | Action: SEND_FRIEND_REQUEST | Details: HaChu
[2025-11-30 23:18:04] User: HaChu | Action: DISCONNECT | Details: User disconnected
[2025-11-30 23:18:44] User: HaChu | Action: LOGIN | Details: User logged in
[2025-11-30 23:19:03] User: HaChu | Action: ACCEPT_FRIEND_REQUEST | Details: giang2b
[2025-11-30 23:23:44] User: giang2b | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 23:23:44] User: HaChu | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 23:27:54] User: giang2b | Action: LOGIN | Details: User logged in
[2025-11-30 23:27:57] User: giang2b | Action: DISCONNECT | Details: User disconnected
[2025-11-30 23:28:07] User: test1 | Action: REGISTER | Details: New user registered
[2025-11-30 23:28:17] User: test1 | Action: LOGIN | Details: User logged in
[2025-11-30 23:28:28] User: test2 | Action: REGISTER | Details: New user registered
[2025-11-30 23:28:36] User: test1 | Action: SESSION_TERMINATED | Details: Old session closed by new login
[2025-11-30 23:28:36] User: test1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 23:28:36] User: test1 | Action: LOGIN | Details: User logged in
[2025-11-30 23:29:00] User: test1 | Action: SESSION_TERMINATED | Details: Old session closed by new login
[2025-11-30 23:29:00] User: test1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 23:29:00] User: test1 | Action: LOGIN | Details: User logged in
[2025-11-30 23:29:20] User: test2 | Action: LOGIN | Details: User logged in
[2025-11-30 23:29:37] User: test1 | Action: SEND_FRIEND_REQUEST | Details: test2
[2025-11-30 23:29:47] User: test1 | Action: DISCONNECT | Details: User disconnected
[2025-11-30 23:29:57] User: test3 | Action: REGISTER | Details: New user registered
[2025-11-30 23:31:22] User: test3 | Action: LOGIN | Details: User logged in
[2025-11-30 23:31:29] User: test3 | Action: SEND_FRIEND_REQUEST | Details: test2
[2025-11-30 23:31:32] User: test2 | Action: DISCONNECT | Details: User disconnected
[2025-11-30 23:32:16] User: test2 | Action: LOGIN | Details: User logged in
[2025-11-30 23:33:02] User: test2 | Action: ACCEPT_FRIEND_REQUEST | Details: test1
[2025-11-30 23:33:35] User: test2 | Action: ACCEPT_FRIEND_REQUEST | Details: test3
[2025-11-30 23:35:44] User: test2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 23:35:44] User: test3 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-12-01 00:51:52] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 00:52:11] User: test2 | Action: SESSION_TERMINATED | Details: Old session closed by new login
[2025-12-01 00:52:11] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 00:52:11] User: test2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-12-01 00:52:43] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 00:53:40] User: test2 | Action: SEND_MESSAGE | Details: test1
[2025-12-01 00:53:54] User: test2 | Action: SEND_MESSAGE | Details: test1
[2025-12-01 00:54:02] User: test1 | Action: LOGIN | Details: User logged in
[2025-12-01 00:58:47] User: test2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-12-01 00:58:47] User: test1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-12-01 01:00:33] User: test1 | Action: LOGIN | Details: User logged in
[2025-12-01 01:00:54] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 01:01:22] User: test2 | Action: SEND_MESSAGE | Details: test1
[2025-12-01 01:08:47] User: test1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-12-01 01:08:47] User: test2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-12-01 01:21:13] User: test1 | Action: LOGIN | Details: User logged in
[2025-12-01 01:23:14] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 01:23:31] User: test1 | Action: SEND_MESSAGE | Details: test2
[2025-12-01 01:23:37] User: test2 | Action: DISCONNECT | Details: User disconnected
[2025-12-01 01:40:39] User: test1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-12-01 16:32:56] User: test1 | Action: LOGIN | Details: User logged in
[2025-12-01 16:33:06] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 16:33:24] User: test1 | Action: SEND_MESSAGE | Details: test2
[2025-12-01 16:33:33] User: test2 | Action: DISCONNECT | Details: User disconnected
[2025-12-01 16:36:15] User: test1 | Action: DISCONNECT | Details: User disconnected
[2025-12-01 16:39:06] User: test1 | Action: LOGIN | Details: User logged in
[2025-12-01 16:39:11] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 16:39:31] User: test1 | Action: SEND_MESSAGE | Details: test2
[2025-12-01 16:56:00] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 16:56:08] User: test1 | Action: LOGIN | Details: User logged in
[2025-12-01 16:56:22] User: test1 | Action: SEND_MESSAGE | Details: test2
[2025-12-01 16:56:44] User: test2 | Action: SEND_MESSAGE | Details: test1
[2025-12-01 16:57:11] User: test1 | Action: SEND_MESSAGE | Details: test2
[2025-12-01 16:57:19] User: test2 | Action: SEND_MESSAGE | Details: test1
[2025-12-01 18:48:56] User: test2 | Action: LOGIN | Details: User logged in
[2025-12-01 18:49:02] User: test1 | Action: LOGIN | Details: User logged in
[2025-12-01 18:49:15] User: test1 | Action: SEND_MESSAGE | Details: test2
[2025-12-01 18:49:25] User: test2 | Action: SEND_MESSAGE | Details: test1
[2025-12-01 18:49:31] User: test2 | Action: SEND_MESSAGE | Details: test1
